Time (s),Channel 1 (V)
0.07825,0.160176
0.0785,0.184488
0.07875,0.198314
0.079,0.228371
0.07925,0.264197
0.0795,0.306901
0.07975,0.345427
0.08,0.383771
0.08025,0.432463
0.0805,0.467105
0.08075,0.510864
0.081,0.548925
0.08125,0.572344
0.0815,0.590395
0.08175,0.614872
0.082,0.614312
0.08225,0.618529
0.0825,0.61193
0.08275,0.600639
0.083,0.589616
0.08325,0.571786
0.0835,0.551718
0.08375,0.526872
0.084,0.497964
0.08425,0.482947
0.0845,0.45892
0.08475,0.44572
0.085,0.428709
0.08525,0.420893
0.0855,0.419152
0.08575,0.412093
0.086,0.41882
0.08625,0.425625
0.0865,0.430434
0.08675,0.43566
0.087,0.444882
0.08725,0.448323
0.0875,0.454893
0.08775,0.454155
0.088,0.450752
0.08825,0.449543
0.0885,0.43064
0.08875,0.420981
0.089,0.40305
0.08925,0.381641
0.0895,0.359679
0.08975,0.328418
0.09,0.314824
0.09025,0.288533
0.0905,0.272311
0.09075,0.261053
0.091,0.251004
0.09125,0.251815
0.0915,0.254993
0.09175,0.271743
0.092,0.293225
0.09225,0.316764
0.0925,0.354878
0.09275,0.39089
0.093,0.426437
0.09325,0.471807
0.0935,0.510567
0.09375,0.552303
0.094,0.594452
0.09425,0.631906
0.0945,0.660736
0.09475,0.681331
0.095,0.698653
0.09525,0.716052
0.0955,0.715663
0.09575,0.710633
0.096,0.70622
0.09625,0.694985
0.0965,0.676001
0.09675,0.65328
0.097,0.631967
0.09725,0.604477
0.0975,0.578818
0.09775,0.557595
0.098,0.543601
0.09825,0.534636
0.0985,0.524433
0.09875,0.515081
0.099,0.515902
0.09925,0.517176
0.0995,0.523231
0.09975,0.528635
0.1,0.530627
0.10025,0.544556
0.1005,0.550335
0.10075,0.545786
0.101,0.555678
0.10125,0.547621
0.1015,0.540895
0.10175,0.529939
0.102,0.521032
0.10225,0.502586
0.1025,0.485253
0.10275,0.461749
0.103,0.435742
0.10325,0.409399
0.1035,0.393326
0.10375,0.375449
0.104,0.354972
0.10425,0.34644
0.1045,0.348355
0.10475,0.349717
0.105,0.359788
0.10525,0.378339
0.1055,0.402768
0.10575,0.429645
0.106,0.471339
0.10625,0.508356
0.1065,0.544177
0.10675,0.586711
0.107,0.634672
0.10725,0.6694
0.1075,0.711559
0.10775,0.737772
0.108,0.768615
0.10825,0.784516
0.1085,0.800024
0.10875,0.804291
0.109,0.80383
0.10925,0.802165
0.1095,0.789643
0.10975,0.765821
0.11,0.750937
0.11025,0.723453
0.1105,0.703258
0.11075,0.677006
0.111,0.654269
0.11125,0.632977
0.1115,0.619894
0.11175,0.609734
0.112,0.598381
0.11225,0.601675
0.1125,0.595802
0.11275,0.600473
0.113,0.604072
0.11325,0.611049
0.1135,0.617633
0.11375,0.629561
0.114,0.635554
0.11425,0.633177
0.1145,0.634881
0.11475,0.629776
0.115,0.62336
0.11525,0.610544
0.1155,0.589621
0.11575,0.569945
0.116,0.544823
0.11625,0.527369
0.1165,0.49748
0.11675,0.474751
0.117,0.456811
0.11725,0.436946
0.1175,0.43346
0.11775,0.427554
0.118,0.427857
0.11825,0.427464
0.1185,0.442151
0.11875,0.466564
0.119,0.500168
0.11925,0.528092
0.1195,0.569208
0.11975,0.607187
0.12,0.650424
0.12025,0.696126
0.1205,0.734895
0.12075,0.774877
0.121,0.802987
0.12125,0.826743
0.1215,0.853056
0.12175,0.872455
0.122,0.879311
0.12225,0.878751
0.1225,0.870635
0.12275,0.860192
0.123,0.840363
0.12325,0.822902
0.1235,0.796117
0.12375,0.77463
0.124,0.753869
0.12425,0.726537
0.1245,0.709787
0.12475,0.689031
0.125,0.672454
0.12525,0.671569
0.1255,0.65938
0.12575,0.660058
0.126,0.666661
0.12625,0.665745
0.1265,0.675978
0.12675,0.676958
0.127,0.682745
0.12725,0.692293
0.1275,0.68873
0.12775,0.6892
0.128,0.6883
0.12825,0.683529
0.1285,0.66666
0.12875,0.651138
0.129,0.632466
0.12925,0.612824
0.1295,0.587819
0.12975,0.563702
0.13,0.536177
0.13025,0.511053
0.1305,0.500876
0.13075,0.483279
0.131,0.476148
0.13125,0.472021
0.1315,0.479177
0.13175,0.489688
0.132,0.510377
0.13225,0.535381
0.1325,0.564098
0.13275,0.596036
0.133,0.640326
0.13325,0.683407
0.1335,0.726897
0.13375,0.761984
0.134,0.804413
0.13425,0.832922
0.1345,0.866022
0.13475,0.884894
0.135,0.907032
0.13525,0.910193
0.1355,0.91648
0.13575,0.914905
0.136,0.904942
0.13625,0.889065
0.1365,0.867723
0.13675,0.839971
0.137,0.8148
0.13725,0.791609
0.1375,0.76943
0.13775,0.748224
0.138,0.73081
0.13825,0.708967
0.1385,0.702048
0.13875,0.697451
0.139,0.690216
0.13925,0.689908
0.1395,0.695765
0.13975,0.693322
0.14,0.701861
0.14025,0.709572
0.1405,0.717804
0.14075,0.712145
0.141,0.716958
0.14125,0.713706
0.1415,0.699186
0.14175,0.690438
0.142,0.675939
0.14225,0.657945
0.1425,0.63118
0.14275,0.608098
0.143,0.582495
0.14325,0.56277
0.1435,0.536257
0.14375,0.513279
0.144,0.496816
0.14425,0.486854
0.1445,0.485071
0.14475,0.484188
0.145,0.491132
0.14525,0.511281
0.1455,0.529438
0.14575,0.563859
0.146,0.595307
0.14625,0.630529
0.1465,0.669535
0.14675,0.712311
0.147,0.750149
0.14725,0.792512
0.1475,0.823855
0.14775,0.851464
0.148,0.88069
0.14825,0.898974
0.1485,0.908042
0.14875,0.915116
0.149,0.906141
0.14925,0.903024
0.1495,0.887235
0.14975,0.863995
0.15,0.845503
0.15025,0.815943
0.1505,0.789362
0.15075,0.766983
0.151,0.746967
0.15125,0.722634
0.1515,0.707218
0.15175,0.692114
0.152,0.678396
0.15225,0.675869
0.1525,0.670834
0.15275,0.672108
0.153,0.677478
0.15325,0.684565
0.1535,0.686755
0.15375,0.691154
0.154,0.699655
0.15425,0.693597
0.1545,0.688492
0.15475,0.689158
0.155,0.674851
0.15525,0.662511
0.1555,0.638475
0.15575,0.615438
0.156,0.591496
0.15625,0.565209
0.1565,0.534978
0.15675,0.511526
0.157,0.491111
0.15725,0.470365
0.1575,0.462068
0.15775,0.454388
0.158,0.45352
0.15825,0.459801
0.1585,0.471727
0.15875,0.492094
0.159,0.51097
0.15925,0.541316
0.1595,0.580816
0.15975,0.620103
0.16,0.658666
0.16025,0.697633
0.1605,0.73482
0.16075,0.771926
0.161,0.798733
0.16125,0.825809
0.1615,0.844774
0.16175,0.85688
0.162,0.86041
0.16225,0.858272
0.1625,0.850262
0.16275,0.84467
0.163,0.820447
0.16325,0.800069
0.1635,0.770509
0.16375,0.745378
0.164,0.722475
0.16425,0.690492
0.1645,0.670921
0.16475,0.650956
0.165,0.637188
0.16525,0.622059
0.1655,0.613518
0.16575,0.607892
0.166,0.610645
0.16625,0.609405
0.1665,0.614699
0.16675,0.62023
0.167,0.630223
0.16725,0.631325
0.1675,0.631165
0.16775,0.621529
0.168,0.613898
0.16825,0.608356
0.1685,0.591409
0.16875,0.57692
0.169,0.551326
0.16925,0.526163
0.1695,0.502925
0.16975,0.470168
0.17,0.449777
0.17025,0.425108
0.1705,0.403683
0.17075,0.384533
0.171,0.377055
0.17125,0.374475
0.1715,0.377286
0.17175,0.378585
0.172,0.402108
0.17225,0.423725
0.1725,0.450347
0.17275,0.482503
0.173,0.521382
0.17325,0.561093
0.1735,0.595052
0.17375,0.638966
0.174,0.66814
0.17425,0.704767
0.1745,0.726721
0.17475,0.746684
0.175,0.76757
0.17525,0.771613
0.1755,0.773806
0.17575,0.760711
0.176,0.753299
0.17625,0.734024
0.1765,0.710287
0.17675,0.687155
0.177,0.656437
0.17725,0.631819
0.1775,0.603526
0.17775,0.575496
0.178,0.555719
0.17825,0.537273
0.1785,0.524568
0.17875,0.512689
0.179,0.50761
0.17925,0.504142
0.1795,0.503231
0.17975,0.505254
0.18,0.515758
0.18025,0.512772
0.1805,0.51464
0.18075,0.513795
0.181,0.50977
0.18125,0.507299
0.1815,0.500461
0.18175,0.483028
0.182,0.462576
0.18225,0.440738
0.1825,0.417303
0.18275,0.392729
0.183,0.36847
0.18325,0.336298
0.1835,0.309592
0.18375,0.290946
0.184,0.26591
0.18425,0.251585
0.1845,0.252134
0.18475,0.24551
0.185,0.256369
0.18525,0.268938
0.1855,0.282758
0.18575,0.315137
0.186,0.344737
0.18625,0.376279
0.1865,0.420764
0.18675,0.454865
0.187,0.488746
0.18725,0.533161
0.1875,0.556921
0.18775,0.592381
0.188,0.60712
0.18825,0.622933
0.1885,0.639973
0.18875,0.63788
0.189,0.632577
0.18925,0.618605
0.1895,0.599767
0.18975,0.579688
0.19,0.551125
0.19025,0.524786
0.1905,0.500713
0.19075,0.474627
0.191,0.44788
0.19125,0.426472
0.1915,0.403542
0.19175,0.392133
0.192,0.370922
0.19225,0.370288
0.1925,0.362253
0.19275,0.365166
0.193,0.36193
0.19325,0.370721
0.1935,0.371014
0.19375,0.368949
0.194,0.369801
0.19425,0.364981
0.1945,0.361962
0.19475,0.352605
0.195,0.340798
0.19525,0.327248
0.1955,0.300662
0.19575,0.280694
0.196,0.253327
0.19625,0.220352
0.1965,0.199915
0.19675,0.170663
0.197,0.141617
0.19725,0.126526
0.1975,0.112149
0.19775,0.102277
0.198,0.0989913
0.19825,0.0950865
0.1985,0.104246
0.19875,0.130558
0.199,0.152673
0.19925,0.176199
0.1995,0.213951
0.19975,0.248632
0.2,0.29032
0.20025,0.319548
0.2005,0.356206
0.20075,0.390942
0.201,0.422601
0.20125,0.441984
0.2015,0.459134
0.20175,0.471276
0.202,0.473455
0.20225,0.477025
0.2025,0.459845
0.20275,0.45258
0.203,0.422833
0.20325,0.399818
0.2035,0.377808
0.20375,0.34678
0.204,0.322233
0.20425,0.290473
0.2045,0.269068
0.20475,0.243378
0.205,0.226979
0.20525,0.217392
0.2055,0.205327
0.20575,0.201435
0.206,0.19852
0.20625,0.19385
0.2065,0.203317
0.20675,0.201304
0.207,0.209991
0.20725,0.204708
0.2075,0.206566
0.20775,0.196163
0.208,0.195839
0.20825,0.177068
0.2085,0.167173
0.20875,0.145723
0.209,0.124004
0.20925,0.0964942
0.2095,0.0648817
0.20975,0.0341465
0.21,0.0111024
0.21025,-0.0148
0.2105,-0.0374637
0.21075,-0.0502726
0.211,-0.0648285
0.21125,-0.0767864
0.2115,-0.0692284
0.21175,-0.0594516
0.212,-0.0470512
0.21225,-0.0252561
0.2125,0.00180863
0.21275,0.0362538
0.213,0.0653138
0.21325,0.103953
0.2135,0.144744
0.21375,0.179859
0.214,0.219269
0.21425,0.248998
0.2145,0.269969
0.21475,0.286824
0.215,0.302736
0.21525,0.305044
0.2155,0.312864
0.21575,0.300342
0.216,0.286686
0.21625,0.26756
0.2165,0.245697
0.21675,0.215188
0.217,0.193182
0.21725,0.160586
0.2175,0.139422
0.21775,0.10633
0.218,0.0853873
0.21825,0.0634715
0.2185,0.0528001
0.21875,0.0445083
0.219,0.0312775
0.21925,0.0367962
0.2195,0.0369385
0.21975,0.0374386
0.22,0.0354061
0.22025,0.0394005
0.2205,0.0403242
0.22075,0.0425537
0.221,0.0339332
0.22125,0.0279415
0.2215,0.0151995
0.22175,0.00220513
0.222,-0.0174353
0.22225,-0.0363676
0.2225,-0.0575765
0.22275,-0.0883683
0.223,-0.113124
0.22325,-0.146405
0.2235,-0.167416
0.22375,-0.198187
0.224,-0.211435
0.22425,-0.227437
0.2245,-0.235932
0.22475,-0.233742
0.225,-0.223724
0.22525,-0.218221
0.2255,-0.190884
0.22575,-0.170939
0.226,-0.139553
0.22625,-0.101025
0.2265,-0.0630436
0.22675,-0.0262011
0.227,0.0138905
0.22725,0.0483907
0.2275,0.0808864
0.22775,0.103303
0.228,0.132012
0.22825,0.140804
0.2285,0.147412
0.22875,0.15238
0.229,0.145681
0.22925,0.135161
0.2295,0.118332
0.22975,0.0976914
0.23,0.0690238
0.23025,0.0497658
0.2305,0.0175197
0.23075,-0.00863878
0.231,-0.0327095
0.23125,-0.0610178
0.2315,-0.0820698
0.23175,-0.0978081
0.232,-0.104297
0.23225,-0.109212
0.2325,-0.112528
0.23275,-0.120403
0.233,-0.120339
0.23325,-0.115578
0.2335,-0.113334
0.23375,-0.106549
0.234,-0.10613
0.23425,-0.103718
0.2345,-0.117101
0.23475,-0.123878
0.235,-0.135181
0.23525,-0.153588
0.2355,-0.170124
0.23575,-0.194403
0.236,-0.224008
0.23625,-0.249163
