Time (s),Channel 1 (V)
0,0.0345991
0.00025,0.0659572
0.0005,0.0989567
0.00075,0.133815
0.001,0.165118
0.00125,0.19009
0.0015,0.211721
0.00175,0.23338
0.002,0.244368
0.00225,0.246299
0.0025,0.247922
0.00275,0.249519
0.003,0.236677
0.00325,0.233062
0.0035,0.217945
0.00375,0.197356
0.004,0.177468
0.00425,0.154193
0.0045,0.130469
0.00475,0.111936
0.005,0.0953939
0.00525,0.0736018
0.0055,0.0561018
0.00575,0.0481657
0.006,0.035693
0.00625,0.0289407
0.0065,0.0329195
0.00675,0.0320778
0.007,0.0297248
0.00725,0.0374944
0.0075,0.0361107
0.00775,0.0466478
0.008,0.0513431
0.00825,0.0596707
0.0085,0.0560945
0.00875,0.0641461
0.009,0.054082
0.00925,0.0558455
0.0095,0.0471722
0.00975,0.0375303
0.01,0.0216237
0.01025,0.00392668
0.0105,-0.0147183
0.01075,-0.0367198
0.011,-0.0481923
0.01125,-0.0759155
0.0115,-0.0999718
0.01175,-0.116312
0.012,-0.126882
0.01225,-0.141841
0.0125,-0.159788
0.01275,-0.163012
0.013,-0.162183
0.01325,-0.159376
0.0135,-0.150551
0.01375,-0.128993
0.014,-0.109913
0.01425,-0.0854238
0.0145,-0.0582384
0.01475,-0.0321234
0.015,0.00295798
0.01525,0.0416545
0.0155,0.0734871
0.01575,0.111404
0.016,0.144392
0.01625,0.177977
0.0165,0.203195
0.01675,0.235743
0.017,0.249706
0.01725,0.271016
0.0175,0.273979
0.01775,0.282035
0.018,0.282018
0.01825,0.282366
0.0185,0.264534
0.01875,0.249313
0.019,0.240773
0.01925,0.222834
0.0195,0.200146
0.01975,0.175846
0.02,0.154453
0.02025,0.132934
0.0205,0.119822
0.02075,0.101616
0.021,0.0849502
0.02125,0.0823586
0.0215,0.0715642
0.02175,0.069383
0.022,0.0641927
0.02225,0.0656302
0.0225,0.0737564
0.02275,0.0781973
0.023,0.0835355
0.02325,0.0871277
0.0235,0.0942621
0.02375,0.0964361
0.024,0.0985698
0.02425,0.0955574
0.0245,0.0957266
0.02475,0.0894346
0.025,0.0786137
0.02525,0.0730572
0.0255,0.0537691
0.02575,0.0382899
0.026,0.0176045
0.02625,-0.0010821
0.0265,-0.0217405
0.02675,-0.0425227
0.027,-0.0586619
0.02725,-0.0826915
0.0275,-0.0997701
0.02775,-0.113003
0.028,-0.117402
0.02825,-0.122312
0.0285,-0.120423
0.02875,-0.115204
0.029,-0.100352
0.02925,-0.0824898
0.0295,-0.0625043
0.02975,-0.0286901
0.03,0.000562268
0.03025,0.0290861
0.0305,0.0719634
0.03075,0.0997025
0.031,0.144773
0.03125,0.171825
0.0315,0.209233
0.03175,0.24124
0.032,0.272446
0.03225,0.287217
0.0325,0.310424
0.03275,0.32495
0.033,0.327906
0.03325,0.330451
0.0335,0.334924
0.03375,0.326383
0.034,0.309277
0.03425,0.298629
0.0345,0.278866
0.03475,0.262326
0.035,0.237315
0.03525,0.215256
0.0355,0.197879
0.03575,0.175364
0.036,0.161335
0.03625,0.143976
0.0365,0.138553
0.03675,0.125271
0.037,0.123674
0.03725,0.119173
0.0375,0.115364
0.03775,0.124789
0.038,0.123456
0.03825,0.127861
0.0385,0.1333
0.03875,0.146389
0.039,0.148266
0.03925,0.158007
0.0395,0.153001
0.03975,0.152963
0.04,0.154912
0.04025,0.149201
0.0405,0.133415
0.04075,0.126749
0.041,0.10597
0.04125,0.0939402
0.0415,0.0683534
0.04175,0.0470604
0.042,0.0340569
0.04225,0.00565934
0.0425,-0.00547422
0.04275,-0.0304849
0.043,-0.0401619
