Time (s),Channel 1 (V)
0,0.0351165
0.00025,0.0603229
0.0005,0.0923035
0.00075,0.111791
0.001,0.136701
0.00125,0.158321
0.0015,0.17856
0.00175,0.190519
0.002,0.208248
0.00225,0.215633
0.0025,0.22021
0.00275,0.216788
0.003,0.219265
0.00325,0.208737
0.0035,0.201456
0.00375,0.18903
0.004,0.17735
0.00425,0.158907
0.0045,0.146352
0.00475,0.13683
0.005,0.120429
0.00525,0.113494
0.0055,0.100776
0.00575,0.101372
0.006,0.0897106
0.00625,0.0906065
0.0065,0.093773
0.00675,0.096725
0.007,0.11008
0.00725,0.116491
0.0075,0.124267
0.00775,0.144558
0.008,0.156934
0.00825,0.172691
0.0085,0.184663
0.00875,0.198677
0.009,0.208679
0.00925,0.220465
0.0095,0.223851
0.00975,0.235577
0.01,0.236251
0.01025,0.233455
0.0105,0.221039
0.01075,0.213017
0.011,0.192873
0.01125,0.183117
0.0115,0.159453
0.01175,0.133902
0.012,0.105434
0.01225,0.0821873
0.0125,0.0553295
0.01275,0.0270936
0.013,0.00221518
0.01325,-0.0251138
0.0135,-0.050932
0.01375,-0.0705706
0.014,-0.0853332
0.01425,-0.105101
0.0145,-0.11592
0.01475,-0.124484
0.015,-0.119716
0.01525,-0.12296
0.0155,-0.116125
0.01575,-0.111716
0.016,-0.0996187
0.01625,-0.0927554
0.0165,-0.0734837
0.01675,-0.0646014
0.017,-0.0492895
0.01725,-0.0347277
0.0175,-0.0213907
0.01775,-0.0102738
0.018,0.00409494
0.01825,0.014228
0.0185,0.0124961
0.01875,0.0235776
0.019,0.0217442
0.01925,0.0138464
0.0195,0.00411409
0.01975,-0.00339865
0.02,-0.0133138
0.02025,-0.0249392
0.0205,-0.0388026
0.02075,-0.0462453
0.021,-0.0676623
0.02125,-0.0733871
0.0215,-0.0889646
0.02175,-0.0935458
0.022,-0.104559
0.02225,-0.102911
0.0225,-0.0990396
0.02275,-0.0976317
0.023,-0.0917197
0.02325,-0.0805461
0.0235,-0.0625861
0.02375,-0.0481469
0.024,-0.0208475
0.02425,-0.00030701
0.0245,0.0275468
0.02475,0.0578137
0.025,0.0877767
0.02525,0.118891
0.0255,0.144971
0.02575,0.170461
0.026,0.193343
0.02625,0.217776
0.0265,0.232987
0.02675,0.249764
0.027,0.268565
0.02725,0.271703
0.0275,0.282107
0.02775,0.275123
0.028,0.272011
0.02825,0.271204
0.0285,0.260772
0.02875,0.255513
0.029,0.240377
0.02925,0.224973
0.0295,0.215185
0.02975,0.200026
0.03,0.188921
0.03025,0.174337
0.0305,0.164641
0.03075,0.164897
0.031,0.163073
0.03125,0.154612
0.0315,0.163891
0.03175,0.163804
0.032,0.17148
0.03225,0.184644
0.0325,0.193775
0.03275,0.208127
0.033,0.226917
0.03325,0.244969
0.0335,0.255041
0.03375,0.273585
0.034,0.2859
0.03425,0.288305
0.0345,0.295661
0.03475,0.309361
0.035,0.307207
0.03525,0.302199
0.0355,0.300904
0.03575,0.291149
0.036,0.268969
0.03625,0.259132
0.0365,0.238283
0.03675,0.208115
0.037,0.184522
0.03725,0.16237
0.0375,0.135003
0.03775,0.109256
0.038,0.0821341
0.03825,0.0548004
0.0385,0.0344594
0.03875,0.0101632
0.039,-0.00905411
0.03925,-0.0201089
0.0395,-0.0259425
0.03975,-0.0401228
0.04,-0.0439135
0.04025,-0.0398652
0.0405,-0.0354247
0.04075,-0.026484
0.041,-0.0125268
0.04125,0.00153413
0.0415,0.0100433
0.04175,0.02333
0.042,0.0384283
0.04225,0.0589233
0.0425,0.0666927
0.04275,0.0873937
0.043,0.0971429
0.04325,0.106643
0.0435,0.110335
0.04375,0.110751
0.044,0.108034
0.04425,0.107279
0.0445,0.0984122
0.04475,0.0955655
0.045,0.084832
0.04525,0.0742236
0.0455,0.0595562
0.04575,0.0498946
0.046,0.0286325
0.04625,0.0171896
0.0465,0.0065203
0.04675,0.00289237
0.047,-0.00185491
0.04725,-0.00208866
0.0475,0.00162692
0.04775,0.00130351
0.048,0.009468
0.04825,0.0233693
0.0485,0.0396759
0.04875,0.0594287
0.049,0.0781305
0.04925,0.103183
0.0495,0.138905
0.04975,0.163858
0.05,0.190233
0.05025,0.226744
0.0505,0.249538
0.05075,0.278427
0.051,0.300999
0.05125,0.330828
0.0515,0.350767
0.05175,0.366092
0.052,0.377445
0.05225,0.387042
0.0525,0.393907
0.05275,0.388974
0.053,0.387662
0.05325,0.388938
