Time (s),Channel 1 (V)
0,0.0323308
0.00025,0.0673899
0.0005,0.0994223
0.00075,0.129913
0.001,0.158929
0.00125,0.183844
0.0015,0.209348
0.00175,0.227671
0.002,0.236597
0.00225,0.243836
0.0025,0.252766
0.00275,0.254907
0.003,0.246646
0.00325,0.240204
0.0035,0.233161
0.00375,0.213535
0.004,0.197237
0.00425,0.179413
0.0045,0.160065
0.00475,0.143569
0.005,0.122212
0.00525,0.107871
0.0055,0.0881222
0.00575,0.0714899
0.006,0.0585562
0.00625,0.0434376
0.0065,0.0432446
0.00675,0.037705
0.007,0.028608
0.00725,0.0316288
0.0075,0.0330722
0.00775,0.0375487
0.008,0.0428197
0.00825,0.0457051
0.0085,0.0442288
0.00875,0.0501626
0.009,0.0563293
0.00925,0.0606319
0.0095,0.0617124
0.00975,0.0636571
0.01,0.0556221
0.01025,0.0493249
0.0105,0.0423513
0.01075,0.0281787
0.011,0.0167752
0.01125,-0.00330002
0.0115,-0.0171606
0.01175,-0.0372085
0.012,-0.0556307
0.01225,-0.0822957
0.0125,-0.0922671
0.01275,-0.115888
0.013,-0.128014
0.01325,-0.147128
0.0135,-0.153395
0.01375,-0.157924
0.014,-0.164859
0.01425,-0.160416
0.0145,-0.147108
0.01475,-0.143696
0.015,-0.125971
0.01525,-0.102694
0.0155,-0.079018
0.01575,-0.0500295
0.016,-0.0257186
0.01625,0.0112577
0.0165,0.0396357
0.01675,0.0753545
0.017,0.111125
0.01725,0.142341
0.0175,0.169342
0.01775,0.202802
0.018,0.223749
0.01825,0.245519
0.0185,0.26687
0.01875,0.279051
0.019,0.280542
0.01925,0.291609
0.0195,0.28716
0.01975,0.278082
0.02,0.278321
0.02025,0.258708
0.0205,0.247203
0.02075,0.229752
0.021,0.212582
0.02125,0.192743
0.0215,0.170947
0.02175,0.149606
0.022,0.136978
0.02225,0.117447
0.0225,0.107722
0.02275,0.0960231
0.023,0.0883781
0.02325,0.0759776
0.0235,0.0769833
