Time (s),Channel 1 (V)
0,0.0282224
0.00025,0.0704136
0.0005,0.112015
0.00075,0.15051
0.001,0.179418
0.00125,0.201823
0.0015,0.213157
0.00175,0.218409
0.002,0.216644
0.00225,0.199958
0.0025,0.187419
0.00275,0.165902
0.003,0.146983
0.00325,0.13174
0.0035,0.107052
0.00375,0.0919064
0.004,0.0861378
0.00425,0.0924498
0.0045,0.096593
0.00475,0.101843
0.005,0.12236
0.00525,0.139782
0.0055,0.163446
0.00575,0.183617
0.006,0.202298
0.00625,0.222702
0.0065,0.228061
0.00675,0.225081
0.007,0.211174
0.00725,0.198205
0.0075,0.172222
0.00775,0.141415
0.008,0.100118
0.00825,0.0571849
0.0085,0.0133893
0.00875,-0.0199779
0.009,-0.0585317
0.00925,-0.0898877
0.0095,-0.110153
0.00975,-0.12548
0.01,-0.131254
0.01025,-0.130375
0.0105,-0.11849
0.01075,-0.112189
0.011,-0.0838522
0.01125,-0.0702823
0.0115,-0.0467465
0.01175,-0.0286458
0.012,-0.0120321
0.01225,0.00417867
0.0125,0.00274606
0.01275,-0.00342556
0.013,-0.00664631
0.01325,-0.0211342
0.0135,-0.0438636
0.01375,-0.0619779
0.014,-0.0792392
0.01425,-0.102684
0.0145,-0.112799
0.01475,-0.126465
0.015,-0.123345
0.01525,-0.119757
0.0155,-0.101321
0.01575,-0.0767998
0.016,-0.0429564
0.01625,-0.0101758
0.0165,0.035983
0.01675,0.0796594
0.017,0.119473
0.01725,0.160425
0.0175,0.197312
0.01775,0.223715
0.018,0.24061
0.01825,0.246205
0.0185,0.253282
0.01875,0.243984
0.019,0.234849
0.01925,0.218346
0.0195,0.198171
0.01975,0.172268
0.02,0.154488
0.02025,0.143919
0.0205,0.129077
0.02075,0.128458
0.021,0.129529
0.02125,0.129962
0.0215,0.148891
0.02175,0.168408
0.022,0.188899
0.02225,0.21409
0.0225,0.236275
0.02275,0.245899
0.023,0.26095
0.02325,0.269942
0.0235,0.263705
0.02375,0.254131
0.024,0.23075
0.02425,0.200607
0.0245,0.170175
0.02475,0.125556
0.025,0.0912429
0.02525,0.0455302
0.0255,0.00460716
0.02575,-0.0229607
0.026,-0.0599695
0.02625,-0.0809417
0.0265,-0.0908048
0.02675,-0.0899173
0.027,-0.0912312
0.02725,-0.0750849
0.0275,-0.0551354
0.02775,-0.0341181
0.028,-0.0157746
0.02825,0.00971717
0.0285,0.0291929
0.02875,0.0430168
0.029,0.0459869
0.02925,0.0477253
0.0295,0.0495431
0.02975,0.0336167
0.03,0.0188859
0.03025,0.000743497
0.0305,-0.0167639
0.03075,-0.0440114
0.031,-0.0554744
0.03125,-0.0711495
0.0315,-0.0745054
0.03175,-0.0715725
0.032,-0.0590154
0.03225,-0.0417307
0.0325,-0.0114235
0.03275,0.0160337
0.033,0.0612504
0.03325,0.104012
0.0335,0.144371
0.03375,0.184297
0.034,0.222991
0.03425,0.261006
0.0345,0.279315
0.03475,0.300155
0.035,0.302787
0.03525,0.309796
0.0355,0.297068
0.03575,0.281211
0.036,0.263075
0.03625,0.250652
0.0365,0.224955
0.03675,0.205698
0.037,0.198556
0.03725,0.189972
0.0375,0.179825
0.03775,0.183166
0.038,0.195605
0.03825,0.213871
0.0385,0.230613
0.03875,0.257754
0.039,0.278568
0.03925,0.299607
0.0395,0.315227
0.03975,0.320868
0.04,0.332059
0.04025,0.320496
0.0405,0.303246
0.04075,0.283096
0.041,0.2561
0.04125,0.219721
0.0415,0.182771
0.04175,0.13824
0.042,0.0924175
0.04225,0.0649487
0.0425,0.0281578
0.04275,0.00197913
0.043,-0.0124669
0.04325,-0.0196533
0.0435,-0.0184019
0.04375,-0.014974
0.044,-0.000422607
0.04425,0.0130434
0.0445,0.0404244
0.04475,0.0619013
0.045,0.0880089
0.04525,0.103529
0.0455,0.11184
0.04575,0.11715
0.046,0.12194
0.04625,0.116166
0.0465,0.100901
0.04675,0.0897737
0.047,0.0634246
0.04725,0.04758
0.0475,0.0268757
0.04775,0.00790147
0.048,0.00337342
0.04825,0.00376225
0.0485,0.00861706
0.04875,0.020117
0.049,0.0456824
